Comments,Product_Name,Rating_Score
I revived Influenster Corsx using weeks love It strong fragrance light weight skin feels good dried,The Niacinamide 15 Serum,5.0
I received serum free Influenster COSRX So upon first application I noticed like softest serum ever used It dried feel I notice smell either I really like one,The Niacinamide 15 Serum,4.0
Unfortunately reading reviews I feel comfortable putting product face due sensitive skin Rosacea And I got face back normal really bad breakout Maybe couple months skin time heal I give try The packing super cute tho,The Niacinamide 15 Serum,2.0
I really like niacinamide serum It comes nice luxurious bottle dropper It major smell goes really smooth It works great daily oil control minimizing pores I followed sunscreen Highly recommend,The Niacinamide 15 Serum,5.0
I love Cosrx I super excited learn receiving product free review Influenster So far I absolutely love It blends skin easily leaves sticky flaky residue I already able see noticeable change skin feels weeks pimples pop randomly even period My skin feels smoother pores less clogged I update review couple months run serum,The Niacinamide 15 Serum,5.0
I received Influenster CorsRX really enjoyed formula great reactions The scent best keep using,The Vitamin C 23 Serum,5.0
I received serum free Influenster COSRC honest review It feels really smooth apply I believe vitamin C also contains vitamin E Hyaluronic acid My skin usually reactive products however I issue trying brand The really problem inconvenient storage cold place I remember go fridge apply serum every day,The Vitamin C 23 Serum,4.0
I received serum free Influenster COSRX So first thing I noticed smells weird thick hard rub Once skin I feel tightening sensation I think supposed feature feels like tight completely feels dehydrated An hour applying I feel stiff layer serum face I want wash My face also tingling,The Vitamin C 23 Serum,2.0
received product free sample influenster unfortunately work skin gets easily irritated definitely help burned skin pretty unusable also smelled completely rancid overall unpleasant use,The Vitamin C 23 Serum,5.0
I really like serum highly concentrated pure vitamin C It visibly improves look wrinkles unevendull skin signs aging best applied toner followed sunscreen Only drops needed spread cheekbones forehead chinneck The thing I like smell bit sour Otherwise great,The Vitamin C 23 Serum,3.0
I using product year I really like results The essence leaves skin nice hydrated feels great application process,Advanced Snail 96 Mucin Power Essence,5.0
Been using two months ive seen incredible results This thing fancy use otherwise I basics face wash moisturizer I cystix acne scars years cheeks never budged Until Theyre literally almost gone,Advanced Snail 96 Mucin Power Essence,5.0
I suffered acne prone sensitive skin decade Ive tried many things figure doesnt break also repairing skins moisture barrier fine line This helped repair skin letting heal without breaking In fact I noticed acne started heal using couple weeks Im second bottle I see went viral sold almost everywhere,Advanced Snail 96 Mucin Power Essence,5.0
Absolutely love product I combo skin leaves skin feeling bouncy moisturized washing I follow moisturizer lock everything second bottle little product goes long way first bottle lasted months,Advanced Snail 96 Mucin Power Essence,5.0
This favorite new product Definitely worth money,Advanced Snail 96 Mucin Power Essence,5.0
Lightweight smells fresh cleans without drying skin A little amount goes long way Will keep buying,Low pH Good Morning Gel Cleanser,5.0
THIS FACIAL CLEANSER IS ABSOLUTELY AMAZING BUT THEN I LOVE EVERY PRODUCT FROM COSRX I HAVE TRIED MANY MANY DIFFERENT BRANDS THROUGHOUT THE YEARS BUT THIS IS BY FAR THE BEST OF THE BEST,Low pH Good Morning Gel Cleanser,5.0
This best cleaner ever used,Low pH Good Morning Gel Cleanser,5.0
wish one methe way makes skin feel clean looks chefs kiss BUT get passed smell first used product mind smell almost got nauseas even got small resemblance whiff duller sense smell could one unfortunately anything like v smell sensitive one might one GET SAMPLE SIZE FIRST try advice,Low pH Good Morning Gel Cleanser,5.0
We use product go back anything else Leaves face feeling fresh We combination skin strip make excessively dry Very gentle skin,Low pH Good Morning Gel Cleanser,5.0
I wish I could buy pack The invisible ones far best market They totally disappear,Acne Pimple Master Patch,5.0
Not favorite cosrx pimple patches job,Acne Pimple Master Patch,5.0
Holy moly Put one bad boys last night I huge zit right lip know ones full theyre throbbing pain feel bump inside mouth Yeah one Slept patch I woke entire zit sucked Evacuated Totally evicted The spot flat cant even tell zit even If use correctly theyre absolute lifesaver Im gonna need buy way Just wish packaging used less plastic maybe guys could make smaller fits better around product,Acne Pimple Master Patch,5.0
Definitely works infected pussfilled pimples,Acne Pimple Master Patch,5.0
Theses life saver I get lot pimples overnight I apply theses time usually work fast Preventing scratching causing scars get rid fast comparing air dry Love live without,Acne Pimple Master Patch,5.0
I went Toronto Pride recently went youll know temperature day degrees celsius felt closer I put stuff face ears rest skincare The friends I went got sunburns I didnt My face wasnt even dry I DRY skin Plus white cast obnoxious smell My complaint small product comes good stuff youll keep buying,Aloe Soothing Sun Cream  SPF50+/ PA+++,5.0
This sunscreen manages feel like moisturizer without much skin top actual moisturizer Ive bought twice coming back buy third I saw stock Im going try different sunscreen meantime Ill likely come back one back stock,Aloe Soothing Sun Cream  SPF50+/ PA+++,5.0
Ive using spf couple years hope becomes available US website I restock To honest took bit get used strong aloe scent I tend prefer fully nonscented products On hand sunscreen feels moisturizing doesnt seem irritate skin greasy thick,Aloe Soothing Sun Cream  SPF50+/ PA+++,5.0
